0.0704346	0.0148669
0.0264587	0.0143556
0.0237732	0.0131459
0.0426636	0.0116911
0.0476379	0.0101972
0.0218201	0.00856783
-0.00805664	0.00664057
-0.0362854	0.00442713
-0.0570374	0.00207151
-0.0585938	-0.000270003
-0.0763245	-0.00250328
-0.107056	-0.00464213
-0.12381	-0.00669149
-0.100372	-0.00856975
-0.0697021	-0.0101399
-0.0597229	-0.011239
-0.0655212	-0.0117897
-0.0803833	-0.011819
-0.0949707	-0.011459
-0.0910339	-0.0108825
-0.0592957	-0.0101301
-0.0240784	-0.00910424
0.00259399	-0.00767213
0.00875854	-0.00583227
0.00827026	-0.00376214
0.00585938	-0.0016649
0.0219421	0.000355553
0.0413208	0.00231515
0.0386353	0.00424648
0.0297241	0.0060698
0.0299072	0.00762236
0.0540771	0.00877412
0.074707	0.00950528
0.0696716	0.0098846
0.0422668	0.00996908
0.0131226	0.0097798
-0.0108032	0.00928942
-0.0168152	0.00842703
-0.0267334	0.00714584
-0.062439	0.0054961
-0.118164	0.00364068
-0.166748	0.00173311
-0.169434	-0.000188832
-0.154846	-0.00216824
-0.163452	-0.00420461
-0.166626	-0.00617023
-0.124023	-0.00787434
-0.0675049	-0.00919582
-0.0411377	-0.0101509
-0.0608215	-0.0108357
-0.0756836	-0.0113042
-0.0606995	-0.0115054
-0.0325317	-0.0113185
0.0140686	-0.0106459
0.0690613	-0.00948568
0.100372	-0.00793489
0.120544	-0.00613614
0.138092	-0.00420693
0.15567	-0.0021885
0.163177	-7.41566e-05
0.15271	0.00211865
0.138855	0.00428259
0.130157	0.00627157
0.147217	0.00799221
0.192139	0.00945922
0.217407	0.0107684
0.179962	0.0119407
0.123413	0.012811
0.0692444	0.0130974
0.0361328	0.0126671
0.0172729	0.0116869
0.0200195	0.0104344
0.0211182	0.00903997
0.003479	0.00746539
-0.0196228	0.00564895
-0.0473938	0.00363128
-0.0741272	0.00153251
-0.105713	-0.000528384
-0.120453	-0.00248095
-0.118774	-0.00433062
-0.0896606	-0.00608462
-0.0612183	-0.00769927
-0.059021	-0.00906474
-0.0844116	-0.0100359
-0.103027	-0.0105192
-0.0991516	-0.0105266
-0.0820007	-0.0101751
-0.0463562	-0.00960064
-0.015625	-0.00884265
0.00213623	-0.00783716
0.012146	-0.00650956
0.0243225	-0.0048857
0.0241699	-0.00309779
0.0250244	-0.00127814
0.0368042	0.000503012
0.0477905	0.00224537
0.0458984	0.00395232
0.0391541	0.00555476
0.0545959	0.00692304
0.0735168	0.00792992
0.0706787	0.00853895
0.0511475	0.00880645
0.0223083	0.00880201
0.000823975	0.00856762
-0.00482178	0.00807972
-0.0157776	0.00727585
-0.0317688	0.00612437
-0.0664978	0.00467201
-0.119659	0.00304782
-0.161835	0.00135767
-0.186798	-0.000377105
-0.189362	-0.002163
-0.186188	-0.00395796
-0.186249	-0.00564485
-0.148163	-0.00709413
-0.106018	-0.00823232
-0.0761719	-0.0090483
-0.0545959	-0.00959598
-0.0517273	-0.00993124
-0.0461121	-0.0100416
-0.0471191	-0.00984056
-0.0216675	-0.00922624
0.0490112	-0.00818654
0.105499	-0.00680427
0.134857	-0.00520838
0.157074	-0.0034985
0.174896	-0.00170528
0.196136	0.000165746
0.188629	0.00207828
0.163239	0.00393658
0.144318	0.00563088
0.137238	0.00711408
0.183441	0.00839483
0.224243	0.00950392
0.199219	0.0104302
0.132629	0.01107
0.0840759	0.0112727
0.0878601	0.0109358
0.0711975	0.0101126
0.0108032	0.00897909
-0.0332031	0.00767018
-0.0387878	0.00623031
-0.0292053	0.00464045
-0.0412903	0.00290542
-0.0738525	0.00109838
-0.0950317	-0.000691184
-0.125793	-0.00238915
-0.140961	-0.00396961
-0.118286	-0.005436
-0.0925903	-0.00675742
-0.0816956	-0.00786496
-0.0992126	-0.00866801
-0.104675	-0.00908536
-0.0861816	-0.00909631
-0.0715332	-0.0087535
-0.0473938	-0.00815869
-0.0201416	-0.00739825
-0.00595093	-0.00647468
0.00411987	-0.00533899
0.0109253	-0.00397216
0.036438	-0.00243376
0.0604858	-0.000842519
0.0637207	0.00070865
0.0595398	0.00219367
0.0556641	0.00361698
0.0595093	0.00494528
0.0693054	0.00608017
0.0699768	0.006914
0.0657043	0.0074086
0.0448914	0.00759694
0.026947	0.0075334
0.0236206	0.00725301
0.0177917	0.00675792
0.0020752	0.00602837
-0.0372009	0.00503579
-0.093811	0.00379305
-0.149872	0.00238213
-0.188324	0.000903467
-0.188812	-0.000589486
-0.178528	-0.00209146
-0.191711	-0.00358423
-0.211334	-0.00499184
-0.187927	-0.00621073
-0.124725	-0.00716273
-0.0655823	-0.00782753
-0.0561829	-0.00824692
-0.0715942	-0.00846393
-0.072998	-0.00847746
-0.0528564	-0.00823299
-0.00692749	-0.00766875
0.0570984	-0.00677898
0.115417	-0.00561266
0.15329	-0.00425302
0.16922	-0.00277811
0.173828	-0.00123118
0.183411	0.000358807
0.200806	0.00195925
0.209442	0.00350846
0.190887	0.00493294
0.156158	0.006179
0.162659	0.00722167
0.199951	0.00807417
0.206573	0.00875731
